Bankname,Tablename,Exposureclass,OriginalexposureOBS,OriginalexposureOffBS,AverageCCF,EAD,AveragePD,Obligornumber,AverageLGD,Averagematurity,RWA,RWA%,EL,Provisions
NatWest Group,CR6,Institutions,-0.4815170184329294,-0.3755522732361535,0.39130167789829806,-0.5267134120552388,-0.9117858647481015,-0.3933864605365863,3.7375498445317805,-0.6944764688457681,-0.4862624341220859,-0.5784586011074946,-0.6198402464059253,0.6283390582789621
NatWest Group,CR6,CorporateOther,0.1494593128968469,0.714352974256734,-0.18985718729918666,0.36072866754765204,-0.7094191427427312,-0.39118374131219225,3.8463016622132598,0.17428946129333878,0.7177461145339475,-0.14659402956311882,-0.04350469423773958,-0.1338646475822788
NatWest Group,CR6,CorporateSME,-0.4432493741174748,-0.31942215299026977,-0.15757058367710414,-0.47651200971021157,-0.030775186118661712,-0.3905496778130567,-0.25799193708577367,0.8821728117770555,-0.33704971464169015,0.1674892951964273,-0.2932501001772867,0.1737717879159329
NatWest Group,CR6,RESME,-0.576210481222506,-0.3949790978502497,1.6181926155374324,-0.6207978770190276,0.5681485466851108,-0.3913327028054823,-0.25255434620169964,0.36734855687980716,-0.5640012505014885,0.1674892951964273,-0.6102346538697888,0.6023200562716506
NatWest Group,CR6,REOther,1.3524080198826895,-0.2142315681579157,1.6181926155374324,1.254031777206813,-0.5683756698298975,-0.20535796989842228,-0.27539222791481033,0.36734855687980716,0.6122193763551484,-0.8532815102720974,0.08411246374235869,-0.014483344254614578
NatWest Group,CR6,QRRE,-0.5056301840055474,-0.021318339351674587,1.6181926155374324,-0.4005892716405339,-0.30877391533816007,2.356572558328183,-0.21775376454362624,0.36734855687980716,-0.3176823752057471,-0.34289610753783506,0.17330725157791124,-0.29610077774551485
NatWest Group,CR6,OtherRetailSME,-0.4829021352813355,-0.3792638424573455,1.6181926155374324,-0.5200964211159147,3.3338270807585024,-0.19766249465857177,-0.2514668280248849,0.36734855687980716,-0.4622132508920628,-0.4214169387277216,-0.15053843964040264,0.13244749061020294
NatWest Group,CR6,OtherRetailNonSME,-0.5125860992734556,-0.39639302898213236,1.6181926155374324,-0.5606196575877698,1.6617464888353433,-0.2607920570355151,-0.2047035464218487,0.36734855687980716,-0.295081532142238,2.915718386842455,0.4450082976000559,-0.5318023253411597
Santander,CR6,Institutions,-0.5538059634409875,-0.3926814597609404,-0.19663737405982396,-0.6050813569318318,-0.7359925506828303,-0.39343292957385173,-0.26908462248928455,2.8932050574694337,-0.5462169805498748,-0.16700944567248924,-0.62258470141625,0.6222169401595947
Santander,CR6,CorporateOther,-0.15277924963055028,-0.11581606999916604,-0.5656732534602268,-0.2245997114954923,-0.12480416806055088,-0.38797607487067515,-0.2374595939075103,-0.8714473064666974,0.6120846470373331,1.6389696716949005,0.7125926611067136,-0.8210724064812692
Santander,CR6,CorporateSME,-0.3308021508475975,-0.2760615982792014,-0.8010425938652082,-0.39397228070120976,0.6253835791714778,-0.38301156034114237,-0.24001526162302508,-0.5979469210525342,-0.05913681431827125,0.83687938109021,0.47794175772395225,-0.9787169480549797
Santander,CR6,RESME,-0.5585780448457153,-0.39536203753180127,-0.9715158609898037,-0.606117303327128,1.9642745176918563,-0.3886754266433518,-0.2569696699995677,0.36734855687980716,-0.5490799785534489,-0.2404264228350331,-0.48810640591034,0.40029015833252657
Santander,CR6,REOther,2.260144852002757,-0.19269857529528595,-0.452993006819159,2.0431056135086094,-0.3537442980060201,-0.06711562406429802,-0.26983501003128674,0.36734855687980716,0.9606967568843076,-0.9341579663976806,1.295789350800711,-0.7215879870415489
Santander,CR6,QRRE,-0.5521984190694796,-0.13450647214874,0.25440647854066833,-0.5024666666950639,-0.1861274171530872,2.4326517819498,-0.21009763657885008,0.36734855687980716,-0.420716621004964,-0.21765538178996613,-0.17249407972300018,0.2977446798331227
Santander,CR6,OtherRetailSME,-0.3797260955880162,-0.3290545588262204,-0.0781455387667812,-0.47486942803839066,0.8318385177830173,-0.15577521760951615,-0.23260926283891634,0.36734855687980716,-0.30639879483871946,0.3492650194010146,0.6124200532298623,-0.5639434454678385
Santander,CR6,OtherRetailNonSME,-0.18041081420495908,-0.37161977727560486,0.3919474099707396,-0.2470078853252767,0.4107522073476005,0.743474048497674,-0.24006963753186583,0.36734855687980716,0.07141589464471162,0.2864483544491054,1.4385010113375951,-1.3246166217992377
Barclays,CR6,CGCB,0.3304546546498898,-0.39639302898213236,-1.610467746670816,0.21552818089884487,-0.9444915975974542,-0.393457973634434,-0.23732909172629252,-0.43706434139714384,-0.3962632498214951,-1.3283325389709109,-0.6212124739110876,0.6329306468684877
Barclays,CR6,Institutions,-0.46342961666797605,-0.250065885281567,-0.10914067824398038,-0.47421612850982553,-0.8831683485049178,-0.393401081635539,-0.24254917897500353,-0.43706434139714384,-0.4598891701597496,-0.739426305046762,-0.6198402464059253,0.6176253515700691
Barclays,CR6,CorporateOther,-0.2609396879097399,0.764326602699212,-0.0929973764329393,-0.008880207163281913,-0.1677304424253263,-0.3892893680360079,-0.24363669715181835,1.1717614551567581,0.8666220107198052,0.9723278148927642,0.29406327203219773,-0.4491537307296998
Barclays,CR6,CorporateSME,-0.515902291436063,-0.36141296191732686,-0.11236933860618863,-0.5569331816765808,0.8134415430552562,-0.3920521766846384,-0.258753199809544,1.1717614551567581,-0.37086677341331936,1.5533819656979244,-0.19582194731076008,0.46151133952620055
Barclays,CR6,REOther,1.0063916766720906,-0.23685446626803833,0.6625091483237908,0.922127618144496,-0.4334645218263174,-0.2576871725767346,-0.2739784542849511,0.36734855687980716,0.3241344125366777,-0.9278762999024895,-0.05997142429968774,0.4354923375188891
Barclays,CR6,QRRE,-0.44599938713036874,0.23797601040659955,-0.02196684846435777,-0.3032756404355517,-0.4743466878880084,2.816892959555723,-0.20154974370908582,0.36734855687980716,-0.12003446597076688,-0.032738824337783266,0.28171322448573666,-0.5930235065348336
Barclays,CR6,OtherRetailSME,-0.5385595677665607,-0.3764065232949993,2.7675957044835693,-0.5711844442497089,1.467556200042311,-0.24644832467287947,-0.24581173350544794,0.36734855687980716,-0.4651772958839984,0.5443892849078827,-0.4044005280954368,0.2548898529975509
Barclays,CR6,OtherRetailNonSME,-0.5439787110566753,-0.3963783005328419,-1.426434106024946,-0.5916607180450222,0.07756255394481941,-0.32460519197933474,-0.20307226915662652,0.36734855687980716,-0.4482687664981838,2.1933267398954994,-0.4153783481367356,0.42477863080999617
